# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1807
#@/user_id	170f9b2c-d1c4-4432-a096-8827b720de9d
a 	啊	c=9 d=1.18438 t=1768
tao pao 	逃跑	c=0 d=0.1 t=558
tao pao ji hua 	逃跑計劃	c=1 d=1 t=559
te di 	特地	c=1 d=1 t=461
ti 	提	c=1 d=1 t=1595
ti jiao 	提交	c=1 d=1 t=1720
tian 	甜	c=1 d=1 t=637
tian jia 	添加	c=2 d=1.43823 t=1496
tiao 	眺	c=1 d=1 t=832
tiao di 	調低	c=1 d=1 t=818
tiao kuan 	條款	c=1 d=1 t=482
tiao xiu 	調休	c=2 d=1.7788 t=315
tiao zheng 	調整	c=5 d=3.96922 t=1037
tie 	鐵	c=1 d=1 t=64
ting 	聽	c=1 d=1 t=249
ting bu xia lai 	停不下來	c=1 d=1 t=1717
ting dao 	聽到	c=1 d=1 t=1077
ting ge 	聽歌	c=1 d=1 t=1740
ting zhi 	停止	c=1 d=1 t=121
tong bu 	同步	c=1 d=1 t=1606
tong shi 	同時	c=1 d=1 t=987
tong yi 	同意	c=1 d=1 t=488
tong zhi 	通知	c=1 d=1 t=1371
tu 	圖	c=1 d=1.04795 t=871
tu ku 	圖庫	c=1 d=1 t=1372
tu pian 	圖片	c=7 d=4.03944 t=838
wa 	哇	c=1 d=1 t=94
wan 	晚	c=1 d=1 t=1323
wan 	玩	c=1 d=1 t=1721
wan an 	晚安	c=1 d=1 t=378
wan mei 	完美	c=1 d=1 t=990
wan shang 	晚上	c=1 d=1 t=1732
wang ji 	忘記	c=2 d=1.00035 t=1707
wang luo 	網絡	c=11 d=6.53297 t=1610
wang su 	網速	c=1 d=1 t=35
wang xian 	網線	c=4 d=3.80723 t=67
wei 	喂	c=1 d=1 t=342
wei 	爲	c=6 d=3.58014 t=1585
wei hu 	維護	c=1 d=1 t=530
wei le 	爲了	c=1 d=1 t=936
wei sha 	爲啥	c=1 d=1 t=141
wei shen me 	爲什麼	c=2 d=1.81058 t=219
wei xian 	危險	c=1 d=1 t=204
wei zhi 	位置	c=3 d=1.11805 t=1118
wen jian 	文件	c=4 d=3.41704 t=1592
wen ti 	問題	c=6 d=1.21505 t=1669
wen zi 	文字	c=3 d=1.16295 t=1168
wo 	我	c=65 d=7.44157 t=1793
wo de tian 	我的天	c=1 d=1 t=697
wo fang zai 	我放在	c=1 d=1 t=128
wo men 	我們	c=2 d=1.40252 t=1069
wu jia ke gui 	無家可歸	c=1 d=1 t=1235
wu yong 	無用	c=1 d=1 t=885
xi ge 	洗個	c=0 d=0.1 t=349
xi ge zao 	洗個早	c=1 d=1 t=350
xi huan ni 	喜歡你	c=1 d=1 t=557
xi lie 	系列	c=1 d=1 t=1652
xi mi lou 	西米露	c=1 d=1 t=1766
xi tong 	系統	c=1 d=1 t=335
xia 	下	c=1 d=1 t=487
xia ban 	下班	c=1 d=1 t=876
xia che 	下車	c=1 d=1 t=1795
xia ci 	下次	c=2 d=1.00047 t=1559
xia wu 	下午	c=1 d=1 t=1194
xia zai 	下載	c=2 d=1.98511 t=1256
xian 	先	c=1 d=1 t=53
xian 	線	c=1 d=1.004 t=1749
xian mu 	羨慕	c=1 d=1 t=1745
xian qi 	嫌棄	c=1 d=1 t=443
xian qi 	掀起	c=1 d=1 t=442
xian shi 	顯示	c=10 d=3.47109 t=1270
xian xiang 	現象	c=2 d=1.74453 t=1095
xian zai 	現在	c=7 d=3.06901 t=1358
